District,School,County,Enrollment,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25
Aitkin Public School District,Aitkin Secondary School,Aitkin,591,4,13,32,36,45,49,53,57
Aitkin Public School District,Rippleside Elementary,Aitkin,518,0,0,9,13,32,41,45,49
Minneapolis Public School District,Armatage Elementary,Hennepin,527,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lake Harriet Lower Elementary,Hennepin,455,0,0,0,0,0,0,0,0
Minneapolis Public School District,Bancroft Elementary,Hennepin,494,0,0,0,0,0,0,0,0
Minneapolis Public School District,Barton Open Elementary,Hennepin,624,9,28,28,32,41,45,49,53
Minneapolis Public School District,Bethune Elementary,Hennepin,298,0,0,4,8,17,21,25,29
Minneapolis Public School District,Burroughs Elementary,Hennepin,670,4,8,17,21,25,25,25,25
Minneapolis Public School District,Field Community,Hennepin,467,0,0,4,8,17,21,25,29
Minneapolis Public School District,Lake Harriet Upper School,Hennepin,566,0,0,4,8,17,26,30,34
Minneapolis Public School District,Hale Elementary,Hennepin,584,0,0,0,0,0,0,0,0
Minneapolis Public School District,Hiawatha Elementary,Hennepin,220,0,0,0,0,0,0,0,0
Minneapolis Public School District,Howe Elementary,Hennepin,211,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lake Nokomis Comm-Keewaydin Campus,Hennepin,469,0,0,0,0,0,0,0,0
Minneapolis Public School District,Kenny Elementary,Hennepin,412,4,13,13,13,17,17,17,17
Minneapolis Public School District,Kenwood Elementary,Hennepin,354,4,13,13,13,17,17,17,17
Minneapolis Public School District,Loring Elementary,Hennepin,389,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lyndale Elementary,Hennepin,471,0,0,0,0,0,0,0,0
Minneapolis Public School District,Jenny Lind Elementary,Hennepin,326,0,0,0,0,0,0,0,0
Minneapolis Public School District,Northrop Elementary,Hennepin,447,0,0,0,0,0,0,0,0
Minneapolis Public School District,Pillsbury Elementary,Hennepin,252,0,0,4,8,12,31,35,39
Minneapolis Public School District,Pratt Elementary,Hennepin,270,4,8,17,21,40,40,40,40
Minneapolis Public School District,Seward Elementary,Hennepin,793,4,8,17,21,25,25,25,25
Minneapolis Public School District,Sheridan Elementary,Hennepin,263,0,0,9,13,17,17,17,17
Minneapolis Public School District,Waite Park Elementary,Hennepin,355,0,0,0,4,8,17,21,25
Minneapolis Public School District,Lake Nokomis Comm-Wenonah Campus,Hennepin,248,0,0,0,0,0,0,0,0
Minneapolis Public School District,Windom School,Hennepin,509,4,13,13,13,17,17,17,17
Minneapolis Public School District,Folwell Arts Magnet,Hennepin,731,0,0,0,4,8,12,21,25
Minneapolis Public School District,Jefferson Elementary,Hennepin,403,9,13,13,13,13,13,13,13
Minneapolis Public School District,Dowling Elementary,Hennepin,462,4,13,13,13,17,17,17,17
Minneapolis Public School District,ECSE,Hennepin,419,0,0,0,0,0,0,0,0
Minneapolis Public School District,Andersen Community,Hennepin,747,0,0,0,0,0,0,0,0
Minneapolis Public School District,Sullivan Elementary,Hennepin,497,0,0,0,0,0,0,0,0
Minneapolis Public School District,Webster Elementary,Hennepin,315,0,0,0,0,0,0,0,0
Minneapolis Public School District,Anishinabe Academy,Hennepin,205,0,0,4,13,22,31,35,35
Minneapolis Public School District,Marcy Open Elementary,Hennepin,669,9,13,13,13,13,13,13,13
Minneapolis Public School District,Bryn Mawr Elementary,Hennepin,291,0,0,0,0,0,0,0,0
Minneapolis Public School District,Green Central Park Elementary,Hennepin,328,0,0,4,8,27,36,40,44
Minneapolis Public School District,Emerson Elementary,Hennepin,450,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lucy Laney @ Cleveland Park Elem,Hennepin,459,0,0,0,0,0,0,0,0
Minneapolis Public School District,Hall International,Hennepin,208,0,0,0,0,0,0,0,0
Minneapolis Public School District,Nellie Stone Johnson Elementary,Hennepin,368,0,0,0,0,0,0,0,0
Minneapolis Public School District,Whittier International,Hennepin,447,0,0,0,0,0,0,0,0
Minneapolis Public School District,Hmong International Academy,Hennepin,489,4,13,13,13,13,13,13,13
Minneapolis Public School District,Cityview Community,Hennepin,282,0,0,0,0,0,0,0,0
Minneapolis Public School District,Anthony Middle School,Hennepin,693,4,23,32,36,40,49,53,57
Minneapolis Public School District,Anwatin Middle Com & Spanish D I,Hennepin,548,0,0,0,0,0,0,0,0
Minneapolis Public School District,Northeast Middle,Hennepin,455,0,0,0,0,0,0,0,0
Minneapolis Public School District,Olson Middle,Hennepin,390,0,0,0,0,0,0,0,0
Minneapolis Public School District,Justice Page Middle School,Hennepin,799,4,8,17,21,25,29,38,42
Minneapolis Public School District,Sanford Middle,Hennepin,933,9,13,22,26,30,30,30,30
Minneapolis Public School District,Franklin Middle School,Hennepin,326,0,0,0,0,0,0,0,0
Minneapolis Public School District,FAIR Senior High,Hennepin,284,0,0,0,0,0,0,0,0
Minneapolis Public School District,MERC,Hennepin,57,0,0,0,0,0,0,0,0
Minneapolis Public School District,Loring-Nicollet High,Hennepin,55,0,0,0,0,0,0,0,0
Minneapolis Public School District,Edison Senior High,Hennepin,938,9,13,13,13,17,26,30,34
Minneapolis Public School District,Longfellow Alternative,Hennepin,74,0,0,0,0,0,0,0,0
Minneapolis Public School District,Henry Senior High,Hennepin,949,0,0,0,0,0,0,0,0
Minneapolis Public School District,Plymouth Youth Center,Hennepin,123,0,0,0,0,0,0,0,0
Minneapolis Public School District,Roosevelt Senior High,Hennepin,957,0,0,0,0,0,0,0,0
Minneapolis Public School District,South Senior High,Hennepin,1644,4,8,17,21,25,34,38,42
Minneapolis Public School District,Wellstone International High,Hennepin,132,0,0,0,0,0,0,0,0
Minneapolis Public School District,Southwest Senior High,Hennepin,1918,0,0,0,0,0,0,0,0
Minneapolis Public School District,Washburn Senior High,Hennepin,1690,4,13,17,21,25,34,53,72
Minneapolis Public School District,Menlo Park Academy,Hennepin,54,0,0,0,0,0,0,0,0
Minneapolis Public School District,North Community Senior High,Hennepin,402,4,13,13,13,17,17,17,17
Minneapolis Public School District,Transition Plus Services,Hennepin,234,0,0,0,0,0,0,0,0
Minneapolis Public School District,Heritage STEM Academy,Hennepin,121,0,0,0,0,0,0,0,0
Minneapolis Public School District,Minneapolis On Line Learning,Hennepin,53,0,0,0,0,0,0,0,0
Minneapolis Public School District,VOA High School,Hennepin,86,0,0,0,0,0,0,0,0
Minneapolis Public School District,River Bend Educational Center,Hennepin,83,0,0,0,0,0,0,0,0
Hill City Public School District,Hill City Elementary,Aitkin,84,0,0,0,0,0,0,0,0
Hill City Public School District,Hill City Middle School,Aitkin,69,0,0,0,0,0,0,0,0
Hill City Public School District,Hill City Senior High,Aitkin,83,0,0,0,0,0,0,0,0
McGregor Public School District,McGregor Elementary,Aitkin,213,0,0,0,0,0,0,0,0
McGregor Public School District,McGregor Secondary,Aitkin,198,0,0,0,4,8,12,31,35
South St. Paul Public School District,South St. Paul Middle School,Dakota,732,0,0,4,13,17,26,30,34
South St. Paul Public School District,South St. Paul High School,Dakota,896,0,0,4,8,17,26,35,39
South St. Paul Public School District,S St. Paul Community Lrng. Cntr.,Dakota,96,0,0,0,0,0,0,0,0
South St. Paul Public School District,Lincoln Center Elementary,Dakota,738,4,23,32,36,45,54,63,67
South St. Paul Public School District,Kaposia Education Center Elementary,Dakota,676,0,0,0,4,8,12,21,25
Anoka-Hennepin Public School District,Anoka High School,Anoka,2272,9,28,47,56,75,94,103,107
Anoka-Hennepin Public School District,Coon Rapids High School,Anoka,2332,9,18,22,31,50,69,78,82
Anoka-Hennepin Public School District,Anoka Middle School For The Arts,Anoka,1750,4,23,42,51,70,79,83,87
Anoka-Hennepin Public School District,Coon Rapids Middle School,Anoka,1521,4,13,22,26,45,54,73,77
Anoka-Hennepin Public School District,Jackson Middle,Hennepin,1947,19,38,42,51,70,89,93,97
Anoka-Hennepin Public School District,Northdale Middle,Anoka,1335,9,28,37,41,50,59,63,67
Anoka-Hennepin Public School District,Blaine High School,Anoka,2940,9,28,57,66,75,79,88,92
Anoka-Hennepin Public School District,Andover High School,Anoka,1679,4,23,42,51,70,89,93,97
Anoka-Hennepin Public School District,Anoka-Hennepin Regional High School,Anoka,148,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Champlin Park High School,Hennepin,2931,19,38,47,66,85,104,113,117
Anoka-Hennepin Public School District,Oak View Middle,Anoka,1233,0,0,9,13,22,41,50,54
Anoka-Hennepin Public School District,Roosevelt Middle,Anoka,825,4,13,13,17,21,30,34,38
Anoka-Hennepin Public School District,Secondary Technical Education Program S.T.E.P.,Anoka,59,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Adams Elementary,Anoka,491,4,13,13,17,26,35,39,43
Anoka-Hennepin Public School District,Crooked Lake Elementary,Anoka,401,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Franklin Elementary,Anoka,312,0,0,0,4,13,17,21,25
Anoka-Hennepin Public School District,Hamilton Elementary,Anoka,383,0,0,0,4,13,17,21,25
Anoka-Hennepin Public School District,Jefferson Elementary,Anoka,537,0,0,19,23,27,31,40,44
Anoka-Hennepin Public School District,Johnsville Elementary,Anoka,582,4,13,13,17,26,30,34,38
Anoka-Hennepin Public School District,Lincoln Elementary,Anoka,367,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Madison Elementary,Anoka,393,0,0,0,4,13,17,21,25
Anoka-Hennepin Public School District,McKinley Elementary,Anoka,569,0,0,4,13,22,41,45,49
Anoka-Hennepin Public School District,Mississippi Elementary,Anoka,368,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Monroe Elementary,Hennepin,551,0,0,4,13,17,21,25,25
Anoka-Hennepin Public School District,Morris Bye Elementary,Anoka,481,0,0,0,4,13,22,26,30
Anoka-Hennepin Public School District,Sand Creek Elementary,Anoka,586,0,0,4,8,27,31,35,39
Anoka-Hennepin Public School District,University Elementary,Anoka,642,9,28,28,28,32,32,32,32
Anoka-Hennepin Public School District,Wilson Elementary,Anoka,490,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Evergreen Park Elementary,Hennepin,461,0,0,0,0,4,13,17,21
Anoka-Hennepin Public School District,Eisenhower Elementary,Anoka,469,4,13,13,13,17,17,17,17
Anoka-Hennepin Public School District,Ramsey Elementary,Anoka,641,0,0,0,4,8,17,21,25
Anoka-Hennepin Public School District,Dayton Elementary,Hennepin,511,9,28,28,28,32,41,45,49
Anoka-Hennepin Public School District,Oxbow Creek Elementary,Hennepin,1062,9,13,22,26,45,64,68,72
Anoka-Hennepin Public School District,Andover Elementary,Anoka,1138,9,28,37,46,65,84,88,92
Anoka-Hennepin Public School District,Rum River Elementary,Anoka,736,4,8,12,21,25,29,33,33
Anoka-Hennepin Public School District,Champlin/Brooklyn Park Academy for Math and Environmental Science,Hennepin,738,0,0,4,8,17,36,45,49
Anoka-Hennepin Public School District,Sunrise Elementary,Anoka,996,9,18,22,26,35,44,48,52
Anoka-Hennepin Public School District,Brookside Elementary,Anoka,742,4,13,13,17,21,30,34,38
Anoka-Hennepin Public School District,Anoka-Hennepin Technical High School,Anoka,170,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Bridges,Anoka,76,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Early Childhood/Special Education,Anoka,862,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,River Trail Learning Center at LO Jacob,Anoka,227,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Pathways,Anoka,131,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,STEP Ahead High School,Anoka,141,0,0,0,0,0,0,0,0
Centennial Public School District,Centennial High School,Anoka,2006,19,38,57,76,95,114,133,142
Centennial Public School District,Centennial Middle,Anoka,1569,9,38,57,76,105,124,133,137
Centennial Public School District,Centennial Elementary,Anoka,526,4,13,22,26,35,39,43,47
Centennial Public School District,Centerville Elementary,Anoka,517,4,13,22,26,35,54,63,67
Centennial Public School District,Golden Lake Elementary,Anoka,396,0,0,9,18,27,31,40,44
Centennial Public School District,Rice Lake Elementary,Anoka,624,9,28,32,51,70,99,103,107
Centennial Public School District,Early Childhood Center,Anoka,110,0,0,0,0,0,0,0,0
Centennial Public School District,Blue Heron Elementary,Anoka,775,19,38,47,51,70,79,88,92
Columbia Heights Public School District,Columbia Heights Senior High,Anoka,1003,0,0,0,0,4,13,22,26
Columbia Heights Public School District,Columbia Academy,Anoka,696,0,0,4,8,17,21,25,29
Columbia Heights Public School District,Highland Elementary,Anoka,523,0,0,0,0,0,0,0,0
Columbia Heights Public School District,North Park Elementary,Anoka,391,0,0,0,0,0,0,0,0
Columbia Heights Public School District,Valley View Elementary,Anoka,460,0,0,0,4,13,32,41,45
Columbia Heights Public School District,Early Childhood,Anoka,50,0,0,0,0,0,0,0,0
Fridley Public School District,Voluntary Prekindergarten School,Anoka,109,0,0,0,0,0,0,0,0
Fridley Public School District,Fridley Senior High,Anoka,916,4,23,32,36,45,54,58,62
Fridley Public School District,Fridley Middle,Anoka,826,4,23,42,51,60,69,78,82
Fridley Public School District,Hayes Elementary,Anoka,479,0,0,0,0,0,0,0,0
Fridley Public School District,Stevenson Elementary,Anoka,472,0,0,9,13,17,17,17,17
Fridley Public School District,Fridley Moore Lake Area Learning Center,Anoka,76,0,0,0,0,0,0,0,0
St. Francis Area Schools,Saints Online,Anoka,129,0,0,0,0,0,0,0,0
St. Francis Area Schools,Saints Academy,Anoka,175,0,0,0,0,0,0,0,0
St. Francis Area Schools,St. Francis High,Anoka,1214,9,58,87,91,100,104,113,117
St. Francis Area Schools,St. Francis Middle,Anoka,828,4,33,42,51,55,59,63,63
St. Francis Area Schools,ECSE@ ISD 15 Lifelong Learning,Anoka,111,0,0,0,0,0,0,0,0
St. Francis Area Schools,St. Francis Elementary,Anoka,599,0,0,9,18,22,26,30,30
St. Francis Area Schools,Cedar Creek Elementary School,Anoka,658,9,18,37,41,45,54,58,62
St. Francis Area Schools,East Bethel Elementary School,Anoka,495,0,0,19,28,32,36,40,40
Spring Lake Park Public Schools,Spring Lake Park Senior High,Anoka,1850,4,13,32,41,60,79,98,102
Spring Lake Park Public Schools,Early Education,Anoka,83,0,0,0,0,0,0,0,0
Spring Lake Park Public Schools,Westwood Intermediate and Middle School,Anoka,1866,4,23,27,31,50,69,78,82
Spring Lake Park Public Schools,Northpoint Elementary,Anoka,552,4,13,22,26,35,44,48,52
Spring Lake Park Public Schools,Woodcrest Elementary Spanish Immersion,Anoka,534,0,0,0,0,4,4,4,4
Spring Lake Park Public Schools,Park Terrace Elementary,Anoka,568,9,18,18,22,31,35,39,43
Spring Lake Park Public Schools,Centerview Elementary,Anoka,639,0,0,4,8,12,21,30,34
Detroit Lakes Public School District,Detroit Lakes Senior High,Becker,898,0,0,4,8,17,21,25,29
Detroit Lakes Public School District,Detroit Lakes Middle,Becker,622,0,0,0,4,13,17,21,25
Detroit Lakes Public School District,Rossman Elementary,Becker,570,0,0,4,13,17,21,25,25
Detroit Lakes Public School District,DETROIT LAKES AREA LEARNING CENTER,Becker,53,0,0,0,0,0,0,0,0
Detroit Lakes Public School District,Lincoln Early Childhood Ed. Center,Becker,60,0,0,0,0,0,0,0,0
Detroit Lakes Public School District,Roosevelt Elementary,Becker,599,0,0,4,8,27,31,35,39
Frazee-Vergas Public School District,Frazee Elementary,Becker,456,4,23,27,36,40,44,48,48
Frazee-Vergas Public School District,Frazee Secondary,Becker,420,4,13,13,13,17,17,17,17
Pine Point Public School District,Pine Point Elementary,Becker,87,0,0,0,0,0,0,0,0
Bemidji Public School District,Gene Dillon Elementary School,Beltrami,746,4,13,13,17,26,30,34,38
Bemidji Public School District,Bemidji Middle,Beltrami,1126,0,0,4,8,27,31,35,39
Bemidji Public School District,Northern Elementary,Beltrami,307,0,0,0,0,0,0,0,0
Bemidji Public School District,Bemidji Senior High,Beltrami,1455,4,13,13,22,31,35,39,43
Bemidji Public School District,Bemidji Senior Lumberjack ALC,Beltrami,62,0,0,0,0,0,0,0,0
Bemidji Public School District,Paul Bunyan Center,Beltrami,112,0,0,0,0,0,0,0,0
Bemidji Public School District,J.W. Smith Elementary,Beltrami,187,0,0,0,0,0,0,0,0
Bemidji Public School District,Central Elementary,Beltrami,119,0,0,0,0,0,0,0,0
Bemidji Public School District,Lincoln Elementary,Beltrami,340,0,0,0,0,0,0,0,0
Bemidji Public School District,Solway Elementary,Beltrami,129,0,0,0,0,0,0,0,0
Bemidji Public School District,Horace May Elementary,Beltrami,278,0,0,0,0,0,0,0,0
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,Beltrami,52,0,0,0,0,0,0,0,0
Blackduck Public School District,Blackduck Elementary,Beltrami,353,0,0,0,0,0,0,0,0
Blackduck Public School District,Blackduck Secondary,Beltrami,289,9,13,13,13,13,13,13,13
Kelliher Public School District,Kelliher Elementary,Beltrami,158,0,0,0,0,0,0,0,0
Kelliher Public School District,Kelliher Secondary,Beltrami,137,0,0,0,0,0,0,0,0
Red Lake Public School District,Red Lake Elementary,Beltrami,579,0,0,4,8,17,21,25,29
Red Lake Public School District,Red Lake Early Childhood Center,Beltrami,123,0,0,0,0,0,0,0,0
Red Lake Public School District,Ponemah Elementary,Beltrami,144,0,0,0,0,0,0,0,0
Red Lake Public School District,Red Lake Secondary,Beltrami,320,0,0,0,0,0,0,0,0
Red Lake Public School District,RED LAKE ALTERNATIVE LEARNING,Beltrami,75,0,0,0,0,0,0,0,0
Red Lake Public School District,Red Lake Middle School,Beltrami,269,0,0,0,0,0,0,0,0
Sauk Rapids-Rice Public Schools,Sauk Rapids-Rice Senior High,Benton,1423,39,58,77,86,105,124,143,147
Sauk Rapids-Rice Public Schools,Mississippi Heights Elementary,Benton,908,9,18,37,56,75,94,123,127
Sauk Rapids-Rice Public Schools,Rice Elementary,Benton,383,9,13,17,21,40,59,68,72
Sauk Rapids-Rice Public Schools,Pleasant View Elementary,Benton,702,9,38,57,61,80,89,93,97
Sauk Rapids-Rice Public Schools,Sauk Rapids-Rice Middle School,Benton,1013,29,98,127,136,145,164,168,172
Foley Public School District,Foley Elementary,Benton,606,0,0,4,8,17,26,30,34
Foley Public School District,Foley Senior High,Benton,621,0,0,4,8,17,26,35,39
Foley Public School District,Foley Intermediate Elementary,Benton,718,0,0,4,13,22,26,30,34
St. Clair Public School District,St. Clair Elementary,Blue Earth,346,0,0,9,13,22,31,35,39
St. Clair Public School District,St. Clair Secondary,Blue Earth,363,0,0,0,0,0,0,0,0
Mankato Public School District,Kennedy Elementary,Blue Earth,390,0,0,4,8,12,21,25,29
Mankato Public School District,Hoover Elementary,Nicollet,506,0,0,4,13,32,41,50,54
Mankato Public School District,Jefferson Elementary,Blue Earth,228,0,0,4,8,17,26,30,34
Mankato Public School District,Monroe Elementary,Nicollet,460,4,8,27,36,40,44,48,48
Mankato Public School District,Roosevelt Elementary,Blue Earth,353,0,0,4,8,17,21,25,29
Mankato Public School District,Bridges Community Elementary,Nicollet,221,0,0,0,4,8,17,21,25
Mankato Public School District,Rosa Parks Elementary,Blue Earth,462,0,0,4,8,17,26,35,39
Mankato Public School District,Washington Elementary,Blue Earth,422,4,8,17,21,40,44,48,52
Mankato Public School District,Franklin Elementary,Blue Earth,411,0,0,4,8,17,21,25,29
Mankato Public School District,Mankato West Senior High,Blue Earth,1243,9,13,17,26,45,54,83,87
Mankato Public School District,Eagle Lake Elementary,Blue Earth,381,0,0,4,8,17,21,25,29
Mankato Public School District,Mankato East Senior High,Blue Earth,1205,9,18,27,31,40,59,78,82
Mankato Public School District,Special Education,Blue Earth,244,0,0,0,0,0,0,0,0
Mankato Public School District,Dakota Meadows Middle School,Nicollet,933,0,0,4,13,22,31,40,44
Mankato Public School District,Prairie Winds Middle School,Blue Earth,1090,0,0,4,23,32,36,55,59
Mankato Public School District,Central High Area Learning Center,Blue Earth,84,0,0,0,0,0,0,0,0
Comfrey Public School District,Comfrey Elementary,Brown,57,0,0,0,0,0,0,0,0
Comfrey Public School District,Comfrey Secondary,Brown,79,0,0,0,0,0,0,0,0
Sleepy Eye Public School District,Sleepy Eye Elementary,Brown,323,4,13,22,26,30,30,30,30
Sleepy Eye Public School District,Sleepy Eye Sec.,Brown,253,0,0,0,0,0,0,0,0
Springfield Public School District,Springfield Secondary,Brown,271,4,13,13,13,17,17,17,17
Springfield Public School District,Springfield Elementary,Brown,298,0,0,0,0,0,0,0,0
New Ulm Public School District,Jefferson Elementary,Brown,602,4,13,17,46,50,59,63,67
New Ulm Public School District,Washington Elementary,Brown,188,0,0,0,0,0,0,0,0
New Ulm Public School District,NEW ULM MIDDLE SCHOOL,Brown,663,4,13,32,51,70,74,78,82
New Ulm Public School District,New Ulm High School,Brown,646,9,13,32,36,40,40,40,40
Barnum Public School District,Barnum Elementary,Carlton,351,4,13,13,13,17,17,17,17
Barnum Public School District,Barnum Secondary,Carlton,361,4,13,17,26,35,39,43,47
Carlton Public School District,Carlton Secondary,Carlton,200,0,0,0,0,0,0,0,0
Carlton Public School District,South Terrace Elementary,Carlton,195,0,0,0,0,0,0,0,0
Cloquet Public School District,Churchill Elementary,Carlton,387,0,0,4,8,17,26,30,34
Cloquet Public School District,CLOQUET AREA ALT. ED. PROGRAMS,Carlton,78,0,0,0,0,0,0,0,0
Cloquet Public School District,Washington Elementary,Carlton,495,0,0,0,0,0,0,0,0
Cloquet Public School District,Cloquet Early Childhood Education,Carlton,66,0,0,0,0,0,0,0,0
Cloquet Public School District,Cloquet Middle,Carlton,840,0,0,9,13,17,17,17,17
Cloquet Public School District,Cloquet Senior,Carlton,765,0,0,0,4,8,17,21,25
Cromwell-Wright Public Schools,Cromwell-Wright Elementary,Carlton,136,0,0,0,0,0,0,0,0
Cromwell-Wright Public Schools,Cromwell-Wright Secondary,Carlton,165,0,0,4,13,17,21,25,25
Moose Lake Public School District,Moose Lake Secondary,Carlton,270,0,0,0,0,0,0,0,0
Moose Lake Public School District,Moose Lake Elementary,Carlton,307,0,0,0,4,8,27,31,35
Esko Public School District,Lincoln Secondary,Carlton,602,0,0,0,4,8,17,26,30
Esko Public School District,Winterquist Elementary,Carlton,666,4,13,22,26,30,39,58,62
Wrenshall Public School District,Wrenshall Elementary,Carlton,186,0,0,0,0,0,0,0,0
Wrenshall Public School District,Wrenshall Secondary,Carlton,178,0,0,0,0,0,0,0,0
Central Public School District,Central Senior High,Carver,345,0,0,0,0,4,4,4,4
Central Public School District,Central Middle,Carver,214,0,0,0,0,0,0,0,0
Central Public School District,Central Elementary,Carver,380,4,13,17,21,30,34,38,42
Waconia Public School District,Southview Elementary,Carver,657,9,13,17,21,30,34,38,42
Waconia Public School District,Early Childhood Special Education,Carver,62,0,0,0,0,0,0,0,0
Waconia Public School District,Bayview Elementary,Carver,537,19,23,32,36,45,49,58,62
Waconia Public School District,Laketown Elementary,Carver,506,0,0,4,13,42,51,55,59
Waconia Public School District,Waconia Middle School,Carver,933,9,28,47,56,65,74,78,82
Waconia Public School District,Waconia High School,Carver,1310,4,13,22,31,40,59,68,72
Watertown-Mayer Public School District,Watertown-Mayer Elementary School,Carver,509,9,18,27,36,45,64,68,72
Watertown-Mayer Public School District,Watertown-Mayer Middle,Carver,477,4,13,22,26,35,44,48,52
Watertown-Mayer Public School District,Watertown Mayer High,Carver,472,4,23,32,36,40,44,53,57
Eastern Carver County Public Schools,Chaska High School,Carver,1560,4,8,17,21,40,59,68,72
Eastern Carver County Public Schools,Chaska Middle School East,Carver,564,0,0,4,8,17,26,35,39
Eastern Carver County Public Schools,Chaska Middle School West,Carver,779,9,13,32,41,60,69,78,82
Eastern Carver County Public Schools,Pioneer Ridge Middle School,Carver,491,4,8,27,36,55,74,83,87
Eastern Carver County Public Schools,Chanhassen High School,Carver,1476,9,13,17,26,35,44,48,52
Eastern Carver County Public Schools,INTEGRATED ARTS ACADEMY,Carver,65,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,112 ALC Middle School,Carver,227,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,La Academia,Carver,450,0,0,0,4,8,17,21,25
Eastern Carver County Public Schools,Carver Elementary School,Carver,706,0,0,9,18,37,41,50,59
Eastern Carver County Public Schools,Chanhassen Elementary,Carver,446,4,13,17,21,30,49,53,57
Eastern Carver County Public Schools,East Union Elementary,Carver,112,0,0,0,4,13,22,31,35
Eastern Carver County Public Schools,Early Childhood Special Education,Carver,131,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,Bluff Creek Elementary,Carver,537,0,0,4,8,27,36,45,49
Eastern Carver County Public Schools,Clover Ridge Elementary,Carver,584,0,0,4,8,17,26,35,39
Eastern Carver County Public Schools,Victoria Elementary,Carver,659,0,0,4,8,27,46,55,59
Eastern Carver County Public Schools,Jonathan Elementary,Carver,587,0,0,4,8,17,26,30,34
Walker-Hackensack-Akeley School District,W.H.A. Elementary,Cass,412,4,13,17,21,40,49,53,57
Walker-Hackensack-Akeley School District,Walker-Hackensack-Akeley Sec.,Cass,325,4,13,17,21,30,39,43,47
Cass Lake-Bena Public Schools,Cass Lake-Bena Elementary,Cass,429,4,13,22,26,30,30,30,30
Cass Lake-Bena Public Schools,Cass Lake-Bena Middle School,Cass,335,0,0,0,0,0,0,0,0
Cass Lake-Bena Public Schools,Cass Lake-Bena Secondary,Cass,265,0,0,0,0,0,0,0,0
Cass Lake-Bena Public Schools,Cass Lake-Bena Area Lrng. Cntr.,Cass,78,0,0,0,0,0,0,0,0
Pillager Public School District,Pillager Elementary,Cass,439,4,23,32,41,45,49,53,53
Pillager Public School District,Pillager Senior High School,Cass,340,4,23,32,36,40,40,40,40
Pillager Public School District,Pillager Middle School,Cass,355,4,23,32,41,45,49,53,53
Northland Community Schools,Northland Elementary,Cass,194,0,0,0,0,0,0,0,0
Northland Community Schools,Northland Secondary,Cass,131,0,0,9,13,17,17,17,17
Montevideo Public School District,Ramsey Elementary,Chippewa,284,0,0,0,0,0,0,0,0
Montevideo Public School District,Sanford Education Center,Chippewa,150,0,0,0,0,0,0,0,0
Montevideo Public School District,Montevideo Middle,Chippewa,435,9,13,13,13,17,17,17,17
Montevideo Public School District,Montevideo Senior High,Chippewa,502,0,0,19,23,27,27,27,27
North Branch Public Schools,North Branch Middle,Chisago,452,4,23,32,36,40,40,40,40
North Branch Public Schools,North Branch Senior High,Chisago,671,9,28,37,41,45,45,45,45
North Branch Public Schools,NORTH BRANCH AREA EDUCATION CENTER,Chisago,132,0,0,0,0,0,0,0,0
North Branch Public Schools,Sunrise River Elementary,Chisago,730,4,23,32,41,50,54,63,67
North Branch Public Schools,Distance Learning Program,Chisago,498,0,0,0,0,0,0,0,0
Rush City Public School District,C.E. Jacobson Elementary,Chisago,479,4,8,27,31,40,49,53,57
Rush City Public School District,Rush City Secondary,Chisago,399,4,13,13,13,17,17,17,17
Barnesville Public School District,Barnesville Elementary,Clay,493,4,13,22,31,35,44,53,57
Barnesville Public School District,Barnesville Secondary,Clay,405,0,0,0,0,0,0,0,0
Hawley Public School District,Hawley Elementary,Clay,553,0,0,4,8,17,36,40,44
Hawley Public School District,Hawley Secondary,Clay,431,0,0,4,8,17,36,40,44
Moorhead Public School District,Probstfield Center For Education,Clay,224,0,0,0,0,0,0,0,0
Moorhead Public School District,Dorothy Dodds Elementary School,Clay,716,0,0,4,8,17,21,25,29
Moorhead Public School District,Robert Asp Elementary,Clay,638,9,18,22,26,45,54,58,62
Moorhead Public School District,Ellen Hopkins Elementary,Clay,610,0,0,0,4,13,17,21,25
Moorhead Public School District,S.G.Reinertsen Elementary,Clay,725,0,0,4,8,17,21,25,29
Moorhead Public School District,Horizon Middle School,Clay,2189,19,38,67,86,105,124,143,147
Moorhead Public School District,Moorhead High School,Clay,1890,4,13,32,36,45,49,53,57
