District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Spectrum High School,Spectrum High School,Sherburne,Public,438,7680,5,15,20,20,30,35,40,40,40,45,45
Spectrum High School,Spectrum Middle School,Sherburne,Public,136,64,0,0,0,0,0,0,0,0,0,0,0
Spectrum High School,Spectrum Middle School - Grades 7-8,Sherburne,Public,238,384,0,0,0,0,0,0,0,0,0,0,0
New Discoveries Montessori Academy,New Discoveries Montessori Academy,Mcleod,Public,228,511,0,0,0,0,0,0,0,0,0,0,0
Southside Family Charter School,Southside Family Charter School,Hennepin,Public,120,511,0,0,0,0,0,0,0,0,0,0,0
Laura Jeffrey Academy Charter,Laura Jeffrey Academy Charter,Ramsey,Public,73,480,0,0,0,0,0,0,0,0,0,0,0
East Range Academy of Tech-Science,East Range Academy of Tech-Science,Saint Louis,Public,164,7680,0,0,0,0,0,0,0,0,0,0,0
International Spanish Language Academy,International Spanish Language Academy,Hennepin,Public,325,127,0,0,5,10,10,15,15,15,15,25,25
Glacial Hills Elementary,Glacial Hills Elementary,Pope,Public,88,127,0,0,0,0,0,0,0,0,0,0,0
Stonebridge World School,Stonebridge World School,Hennepin,Public,284,511,0,0,0,0,0,0,5,5,15,20,20
Hiawatha Academies,Hiawatha Leadership Acad-Morris Pk,Hennepin,Public,209,31,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha College Prep - Kingfield,Hennepin,Public,311,480,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha Leadership Academy-Northrop,Hennepin,Public,264,31,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha Collegiate High School,Hennepin,Public,560,7680,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha College Prep - Northrop,Hennepin,Public,242,224,0,0,0,0,0,0,0,0,0,0,0
Noble Academy,Noble Academy,Hennepin,Public,560,504,0,0,0,0,0,0,0,0,0,0,0
Noble Academy,Nompeng Academy,Hennepin,Public,261,7,0,0,0,0,0,0,0,0,0,0,0
Clarkfield Charter School,Clarkfield Charter School,Yellow Medicine,Public,46,127,0,0,0,0,0,0,0,0,0,0,0
Minisinaakwaang Leadership Academy,Minisinaakwaang Leadership Academy,Aitkin,Public,38,8191,0,0,0,0,0,0,0,0,0,0,0
Lincoln International School,Lincoln International School,Hennepin,Public,125,7680,0,0,0,0,0,0,0,0,0,0,0
Community School of Excellence,Community School of Excellence,Ramsey,Public,1351,511,0,0,0,0,0,0,10,10,10,10,10
Community School of Excellence,Community School of Excellence High School,Ramsey,Public,87,1536,0,0,0,0,0,0,0,0,0,0,0
Lionsgate Academy,Lionsgate Academy - Minnetonka,Hennepin,Public,147,8064,0,0,0,0,0,0,0,0,0,0,0
Lionsgate Academy,Lionsgate Academy AIM,Ramsey,Public,32,4096,0,0,0,0,0,0,0,0,0,0,0
Lionsgate Academy,Lionsgate Academy - Lynx Program,Ramsey,Public,22,7936,0,0,0,0,0,0,0,0,0,0,0
Lionsgate Academy,Lionsgate Academy - Shoreview,Ramsey,Public,136,8064,0,0,0,0,0,5,5,5,5,5,5
Aspen Academy,Aspen Academy,Scott,Public,647,511,0,0,0,0,5,15,20,20,30,35,35
DaVinci Academy,DaVinci Academy,Anoka,Public,910,511,5,10,10,15,20,25,30,35,35,35,35
Global Academy,Global Academy,Ramsey,Public,454,511,0,5,5,5,15,20,30,30,30,35,35
Cologne Academy,Cologne Academy,Carver,Public,656,511,0,0,0,5,65,70,75,75,75,80,80
Legacy of Dr. Josie R. Johnson Montessori,Legacy of Dr. Josie R. Johnson Montessori,Hennepin,Public,99,127,0,0,0,0,0,0,0,0,0,0,0
KIPP Minnesota Charter School,KIPP North Star Academy,Hennepin,Public,207,480,0,0,0,0,0,0,0,0,0,0,0
KIPP Minnesota Charter School,KIPP Legacy Academy,Hennepin,Public,104,240,0,0,0,0,0,0,0,0,0,0,0
KIPP Minnesota Charter School,KIPP North Star Primary,Hennepin,Public,286,31,0,0,0,0,0,0,0,0,0,0,0
KIPP Minnesota Charter School,KIPP Legacy Primary,Hennepin,Public,66,7,0,0,0,0,0,0,0,0,0,0,0
Best Academy,Best Academy,Hennepin,Public,715,511,0,0,0,0,0,0,0,0,0,0,0
College Preparatory Elementary,College Preparatory Elementary,Ramsey,Public,289,127,0,0,0,0,0,0,0,0,0,0,0
Cannon River STEM School,Cannon River STEM School,Rice,Public,326,511,0,0,0,0,5,10,10,10,10,10,10
Oshki Ogimaag Charter School,Oshki Ogimaag Charter School,Cook,Public,31,127,0,0,0,0,0,0,0,0,0,0,0
Discovery Woods,Discovery Woods,Crow Wing,Public,102,127,0,0,0,0,0,0,0,0,0,0,0
Parnassus Preparatory Charter School,Parnassus Preparatory School-Grammar,Hennepin,Public,652,31,0,0,0,0,0,0,0,0,0,0,0
Parnassus Preparatory Charter School,Parnassus Preparatory School-Logic,Hennepin,Public,483,480,0,0,0,0,0,0,0,0,0,0,0
Parnassus Preparatory Charter School,Parnassus Preparatory School-Rhetoric,Hennepin,Public,173,7680,0,0,0,0,0,0,0,0,0,0,0
STEP Academy Charter School,STEP ACADEMY CHARTER SCHOOL,Ramsey,Public,384,8128,0,0,0,0,0,0,0,0,5,5,5
STEP Academy Charter School,STEP Academy Elementary,Ramsey,Public,259,63,0,0,0,0,0,0,0,0,0,0,0
Cornerstone Montessori Elementary,Cornerstone Montessori Elementary,Ramsey,Public,135,127,0,0,0,0,0,0,0,0,0,0,0
Rochester STEM Academy,ROCHESTER STEM ACADEMY,Olmsted,Public,124,7680,0,0,0,0,0,0,0,0,0,0,0
Hennepin Elementary School,Hennepin Elementary School,Hennepin,Public,270,63,0,0,0,0,0,0,5,5,5,5,5
Hennepin Elementary School,Hennepin Middle School,Hennepin,Public,106,448,0,0,0,0,0,0,0,0,0,0,0
Vermilion Country School,Vermilion Country School,Saint Louis,Public,29,8064,0,0,0,0,0,0,0,0,0,0,0
Nasha Shkola Charter School,Nasha Shkola Charter School,Hennepin,Public,115,511,0,0,0,0,0,0,0,0,0,0,0
Mastery School,Mastery School,Hennepin,Public,118,63,0,0,0,0,0,0,0,0,0,0,0
Upper Mississippi Academy,Upper Mississippi Middle Academy,Ramsey,Public,115,448,0,0,0,0,0,0,0,0,0,0,0
Upper Mississippi Academy,Upper Mississippi High Academy,Ramsey,Public,172,7680,0,0,0,0,0,0,0,0,0,0,0
Prodeo Academy,Prodeo Academy Columbia Heights Primary,Anoka,Public,180,3,0,0,5,5,5,5,5,5,5,5,5
Prodeo Academy,Prodeo Academy Columbia Heights Elementary,Anoka,Public,229,28,0,0,0,0,0,0,0,0,0,0,0
Prodeo Academy,Prodeo Academy Columbia Heights Middle,Anoka,Public,186,224,0,0,0,0,0,0,0,0,0,0,0
Prodeo Academy,Prodeo Academy St. Paul,Ramsey,Public,180,15,0,0,0,0,0,0,0,0,5,5,5
Sejong Academy of Minnesota,Sejong Academy of Minnesota,Ramsey,Public,212,511,0,0,0,0,0,0,0,0,0,0,0
Sejong Academy of Minnesota,Sejong Academy High School,Ramsey,Public,45,1536,0,0,0,0,0,0,0,0,0,0,0
Technical Academies of Minnesota,DREAM Technical Academy,Kandiyohi,Public,73,8064,0,0,0,0,0,0,0,0,0,0,0
Technical Academies of Minnesota,CHOICE Technical Academy,Steele,Public,49,7936,0,0,0,0,0,0,0,0,0,0,0
Venture Academy,Venture Academy,Hennepin,Public,322,8128,0,0,0,0,0,0,0,0,0,0,0
Northeast College Prep,Northeast College Prep Charter School,Hennepin,Public,373,511,0,0,0,0,0,0,0,0,0,5,5
Agamim Classical Academy,Agamim Classical Academy,Hennepin,Public,314,511,0,0,5,5,5,5,5,5,5,5,5
Discovery Charter School,Discovery Charter Elementary School,Dakota,Public,223,511,0,0,0,0,0,5,5,5,5,5,5
Saint Cloud Math and Science Academy Charter School,Saint Cloud Math and Science Academy Charter School,Stearns,Public,226,127,0,0,0,0,5,5,5,5,5,5,5
Star of the North Academy Charter School,Star of the North Academy Charter School,Anoka,Public,126,511,0,0,0,0,0,0,0,0,0,0,0
Universal Academy Charter School,Universal Academy Charter School,Hennepin,Public,427,511,0,0,0,0,0,0,0,0,0,0,0
Bdote Learning Center,Bdote Learning Center,Hennepin,Public,102,511,0,0,0,0,0,0,0,0,0,0,0
Art and Science Academy,Art and Science Academy,Isanti,Public,191,31,0,10,10,10,10,10,10,10,10,10,10
Art and Science Academy,Art & Science Academy Middle School,Isanti,Public,156,480,0,0,5,5,5,5,5,5,5,5,5
Woodbury Leadership Academy,Woodbury Leadership Academy,Washington,Public,564,511,0,5,5,5,10,15,20,20,20,25,25
Jane Goodall Environmental Science Academy,Jane Goodall Environmental Science Academy,Wright,Public,111,8128,0,0,0,0,0,0,0,0,0,0,0
Minnesota Excellence in Learning Academy,Minnesota Excellence in Learning Academy,Hennepin,Public,203,127,0,0,5,5,5,5,5,5,5,5,5
Minnesota Math and Science Academy,MMSA Elementary School,Ramsey,Public,197,31,0,0,0,0,0,0,0,0,0,0,0
Minnesota Math and Science Academy,MMSA Middle School,Ramsey,Public,182,480,0,0,0,0,0,0,0,0,0,0,0
Minnesota Math and Science Academy,MMSA High School,Ramsey,Public,125,7680,0,0,0,0,0,0,0,0,0,0,0
Success Academy,Success Academy,Hennepin,Public,157,255,0,0,0,0,0,0,0,0,0,0,0
Level Up Academy,Level Up Academy,Ramsey,Public,90,63,0,0,0,0,0,0,0,0,0,0,0
Level Up Academy,Level Up Middle Academy,Ramsey,Public,43,448,0,0,0,0,0,0,0,0,0,0,0
Career Pathways,Career Pathways,Ramsey,Public,107,8128,0,0,0,0,0,0,0,0,0,0,0
Rochester Beacon Academy,Rochester Beacon Academy,Olmsted,Public,112,8128,0,0,0,0,0,0,0,0,0,0,0
Tesfa International School,Tesfa International School,Anoka,Public,139,127,0,0,0,0,0,0,0,0,0,0,0
New Century School,New Century School,Ramsey,Public,377,511,0,5,5,5,5,5,5,5,5,5,5
North Metro Flex Academy,North Metro Flex Academy,Ramsey,Public,212,127,0,0,0,0,0,0,0,0,0,0,0
North Metro Flex Academy,North Metro Flex Middle School,Ramsey,Public,28,384,0,0,0,0,0,0,0,0,0,0,0
FIT Academy,FIT Academy,Dakota,Public,237,511,0,0,0,0,0,0,0,0,0,0,0
FIT Academy,FIT Academy High School,Dakota,Public,39,3584,0,0,0,0,0,0,0,0,0,0,0
Athlos Academy of Saint Cloud,Athlos Academy of Saint Cloud,Stearns,Public,644,511,0,5,10,10,10,10,10,10,15,20,20
Phoenix Academy Charter School,Phoenix Academy Charter School,Chisago,Public,147,255,0,0,0,0,0,0,0,0,0,0,0
Marine Area Community School,Marine Area Community School,Washington,Public,201,127,0,0,0,0,0,0,0,0,0,0,0
Skyline Math and Science Academy,Skyline Math and Science Academy,Hennepin,Public,239,127,0,0,0,0,0,0,0,0,0,0,0
The Journey School,The Journey School,Ramsey,Public,83,127,0,0,0,0,0,0,0,0,0,0,0
The Journey School,The Journey School Middle,Ramsey,Public,10,128,0,0,0,0,0,0,0,0,0,0,0
SciTech Academy Charter School,SciTech Academy Charter School,Hennepin,Public,218,63,0,0,0,0,0,0,0,0,0,0,0
SciTech Academy Charter School,SciTech Academy Middle,Hennepin,Public,63,448,0,0,0,0,0,0,0,0,0,0,0
Progeny Academy Charter School,Progeny Academy Charter School,Hennepin,Public,52,496,0,0,0,0,0,0,0,0,0,0,0
Gateway STEM Academy,Gateway STEM Academy Charter School,Dakota,Public,221,127,0,0,0,0,0,0,0,0,0,0,0
Minnesota Wildflower Montessori School,Lirio Montessori,Hennepin,Public,10,1,0,0,0,0,0,0,0,0,0,0,0
Minnesota Wildflower Montessori School,Cosmos Montessori,Hennepin,Public,11,1,0,0,0,0,0,0,0,0,0,0,0
Minnesota Wildflower Montessori School,Water Lily Montessori,Ramsey,Public,5,1,0,0,0,0,0,0,0,0,0,0,0
Three Rivers Montessori School,Three Rivers Montessori School,Sherburne,Public,85,127,0,0,0,0,0,0,0,0,0,0,0
Horizon Science Academy Twin Cities Charter School,Horizon Science Academy Twin Cities,Hennepin,Public,85,63,0,0,0,0,0,0,0,0,0,0,0
Great Oaks Academy Charter School,Great Oaks Academy Charter School,Dakota,Public,78,31,0,0,0,0,0,0,0,0,0,0,0
Quantum STEAM Academy Charter School,Quantum STEAM Academy Charter School,Ramsey,Public,67,127,0,0,0,0,0,0,0,0,0,0,0
Aurora Waasakone Community of Learners Charter School,Aurora Waasakone Community of Learners Charter School,Beltrami,Public,104,511,0,0,0,0,0,0,0,0,0,0,0
Modern Montessori Charter School,Modern Montessori Charter School,Hennepin,Public,110,127,0,0,0,0,0,0,0,0,0,0,0
St. Paul School of Northern Lights,St. Paul School of Northern Lights,Ramsey,Public,206,255,0,0,0,0,0,0,0,0,0,0,0
Notre Ecole Academy,Notre Ecole Academy,Hennepin,Public,26,3,0,0,0,0,0,0,0,0,0,0,0
Metro Tech Academy Charter School,Metro Tech Academy Elementary,Hennepin,Public,24,127,0,0,0,0,0,0,0,0,0,0,0
Innovation Science and Technology Academy Charter School,Innovation Science and Technology Academy,Anoka,Public,44,63,0,0,0,0,0,0,0,0,0,0,0
Freshwater Education District,Freshwater Education District ALC,Wadena,Public,94,7936,0,0,5,5,5,5,5,5,5,5,5
Freshwater Education District,White Pine Academy,Wadena,Public,12,7936,0,0,0,0,0,0,0,0,0,0,0
Freshwater Education District,Elm Tree Academy,Wadena,Public,5,452,0,0,0,0,0,0,0,0,0,0,0
Freshwater Education District,Leaf River Academy,Wadena,Public,20,252,0,0,0,0,0,0,0,0,0,0,0
Freshwater Education District,Early Childhood Special Education,Wadena,Public,60,1,0,0,0,0,0,0,0,0,0,0,0
St. Croix River Education District,Pathway to Change,Chisago,Public,20,8108,0,0,0,0,0,0,0,0,0,0,0
St. Croix River Education District,Skillbuilding Opportunities for Academic Resiliency,Chisago,Public,6,5892,0,0,0,0,0,0,0,0,0,0,0
St. Croix River Education District,Pine County Transition Program,Pine,Public,12,4096,0,0,0,0,0,0,0,0,0,0,0
St. Croix River Education District,Chisago County Schools' Life Work Center,Chisago,Public,28,4096,0,0,0,0,0,0,0,0,0,0,0
St. Croix River Education District,Vision,Pine,Public,21,8156,0,0,0,0,0,0,0,0,0,0,0
Zumbro Education District,Zumbro Education District,Olmsted,Public,57,1,0,0,0,0,0,0,0,0,0,0,0
Zumbro Education District,Zumbro Area Learning Center,Olmsted,Public,69,7936,0,0,0,0,0,0,0,0,0,0,0
Zumbro Education District,Zumbro Ed. Dist. Futures/Choice,Olmsted,Public,36,8188,0,0,0,0,0,0,0,0,0,0,0
Zumbro Education District,Transition 2 Success,Olmsted,Public,11,4096,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Valley Ed. District,Achieve,Houston,Public,10,2260,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Valley Ed. District,River Valley Academy ALC,Winona,Public,8,7168,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Valley Ed. District,HVED ECSE,Winona,Public,38,1,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Valley Ed. District,Sail Program,Wabasha,Public,19,7152,0,0,0,0,0,0,0,0,0,0,0
Hiawatha Valley Ed. District,HVED Spectrum Program,Houston,Public,7,178,0,0,0,0,0,0,0,0,0,0,0
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,Douglas,Public,95,7424,0,0,0,0,0,0,0,0,0,0,0
MN River Valley Education District,MN River Valley ALC-Seatbased,Chippewa,Public,116,7936,0,0,0,0,0,0,0,0,0,0,0
West Central Education District,West Central Area Learning Center,Stearns,Public,35,8064,0,0,0,0,0,0,0,0,0,0,0
West Central Education District,Beacon Program W Central Ed. Dist.,Stearns,Public,9,249,0,0,0,0,0,0,0,0,0,0,0
West Central Education District,West Central Education District B-2,Stearns,Public,28,1,0,0,0,0,0,0,0,0,0,0,0
MN Valley Education District,Minnesota Valley School,Nicollet,Public,33,8190,0,0,0,0,0,0,0,0,0,0,0
MN Valley Education District,MN Valley Ed. Dist. Early Childhood,Nicollet,Public,32,1,0,0,0,0,0,0,0,0,0,0,0
MN Valley Education District,Minnesota River School,Nicollet,Public,9,924,0,0,0,0,0,0,0,0,0,0,0
River Bend Education District,River Bend Area Learning Center,Brown,Public,65,7680,0,0,5,5,5,5,5,5,5,5,5
River Bend Education District,Imprints Program,Brown,Public,30,8174,0,0,0,0,0,0,0,0,0,0,0
River Bend Education District,River Bend Early Childhood Prog.,Brown,Public,51,1,0,0,0,0,0,0,0,0,0,0,0
River Bend Education District,W.O.R.K. Program,Brown,Public,7,6144,0,0,0,0,0,0,0,0,0,0,0
River Bend Education District,R.I.S.E. Program,Brown,Public,11,5502,0,0,0,0,0,0,0,0,0,0,0
River Bend Education District,Raptor Program,Brown,Public,3,352,0,0,0,0,0,0,0,0,0,0,0
Goodhue County Education District,Reach Programs,Goodhue,Public,67,8190,0,0,0,0,0,0,0,0,0,0,0
Goodhue County Education District,Tower View Alternative High School,Goodhue,Public,63,7168,0,0,0,0,0,0,0,0,0,0,0
Goodhue County Education District,Pathways Program Grades 8-12,Goodhue,Public,16,7680,0,0,0,0,0,0,0,0,0,0,0
Central Minnesota Jt. Powers Dist.,Central MN. ALC - Sauk Rapids,Benton,Public,4,6144,0,0,0,0,0,0,0,0,0,0,0
Central Minnesota Jt. Powers Dist.,Central MN Area Learn Cntr - Foley,Benton,Public,4,4096,0,0,0,0,0,0,0,0,0,0,0
Northland Learning Center,Northland Learning Center 010,Saint Louis,Public,51,8064,0,0,0,0,0,0,0,0,0,0,0
Northland Learning Center,ISD 361 - ALC Program,Koochiching,Public,25,7424,0,0,0,0,0,0,0,0,0,0,0
Northland Learning Center,Northland Learning Center 020,Saint Louis,Public,69,8191,0,0,0,0,0,0,0,0,0,0,0
Northland Learning Center,NSEC Transition Program,Saint Louis,Public,21,4096,0,0,0,0,0,0,0,0,0,0,0
Northland Learning Center,Northland Learning Center 060,Saint Louis,Public,1,512,0,0,0,0,0,0,0,0,0,0,0
Rum River Special Education Coop,RUM RIVER NORTH,Mille Lacs,Public,94,8191,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,Enrich Program,Mower,Public,11,2173,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,Success Program,Mower,Public,16,8154,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,CARDS Program,Mower,Public,14,4567,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,SMEC ALC,Mower,Public,39,8064,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,Enrich Kingsland,Fillmore,Public,9,7424,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,First Step Adams,Mower,Public,5,1,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,First Step Alden,Freeborn,Public,4,1,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,Enrich Alden,Freeborn,Public,18,6551,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,First Step - Kingsland,Fillmore,Public,5,1,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,RESET,Mower,Public,8,7888,0,0,0,0,0,0,0,0,0,0,0
Southern MN Education Consortium,Success West,Freeborn,Public,6,7692,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,Pinewood Elementary - SNW,Wright,Public,22,62,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,SNW HS DCD Program,Wright,Public,53,7680,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,SNW MS DCD Program,Wright,Public,10,448,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,Little Mountain Elementary - SNW,Wright,Public,7,24,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,Eastview Elementary School - SNW,Wright,Public,79,1,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,Primary DCD - SNW,Wright,Public,7,1,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,SNW - Becker Intermediate,Sherburne,Public,4,56,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,SNW - Liberty Elementary,Sherburne,Public,4,13,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,SNW - Big Lake HS Transitions,Sherburne,Public,20,4096,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,SNW Monti HS EBD Program,Wright,Public,3,512,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,SNW Monti MS EBD Program,Wright,Public,7,448,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,Intensive DCD - SNW,Wright,Public,6,2672,0,0,0,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,Foundations II,Wright,Public,9,192,0,0,0,0,0,0,0,0,0,0,0
Cannon Valley Special Education Cooperative,Alexander Learning Academy,Rice,Public,45,8184,0,0,0,0,0,0,0,0,0,0,0
Cannon Valley Special Education Cooperative,Laura Baker SUN Program,Rice,Public,4,6272,0,0,0,0,0,0,0,0,0,0,0
Cannon Valley Special Education Cooperative,CVSEC STEP,Rice,Public,35,4096,0,0,0,0,0,0,0,0,0,0,0
Austin Albert Lea Area Special Education Cooperative (AALASEC),Oakland Education Center,Mower,Public,41,7910,0,0,0,0,0,0,0,0,0,0,0
Northern Lights Academy Cooperative,Northern Lights Academy,Carlton,Public,19,496,0,0,0,0,0,0,0,0,0,0,0
Benton-Stearns Education District,Benton-Stearns Education District,Benton,Public,23,4032,0,0,0,0,0,0,0,0,0,0,0
Benton-Stearns Education District,Benton-Stearns Education Program - Pioneers,Stearns,Public,13,60,0,0,0,0,0,0,0,0,0,0,0
Benton-Stearns Education District,Benton Stearns Education District 18-21 Program,Benton,Public,17,4096,0,0,0,0,0,0,0,0,0,0,0
Benton-Stearns Education District,Benton-Stearns Education District - ASD Program,Stearns,Public,6,5776,0,0,0,0,0,0,0,0,0,0,0
Benton-Stearns Education District,Benton-Stearns Education District Early Childhood,Stearns,Public,51,1,0,0,0,0,0,0,0,0,0,0,0
Mid State Education District,SUN Program,Morrison,Public,6,856,0,0,0,0,0,0,0,0,0,0,0
Mid State Education District,Mid State Ed Dist Steps Trans. Prog,Morrison,Public,5,4096,0,0,0,0,0,0,0,0,0,0,0
Mid State Education District,WIN-Elementary School,Morrison,Public,6,60,0,0,0,0,0,0,0,0,0,0,0
Mid State Education District,WIN-High School,Morrison,Public,15,7680,0,0,0,0,0,0,0,0,0,0,0
Mid State Education District,MSED Birth to 3,Morrison,Public,12,1,0,0,0,0,0,0,0,0,0,0,0
Mid State Education District,WIN-Middle School,Morrison,Public,10,448,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Delasalle High School,Hennepin,Public,719,7680,0,0,0,0,0,0,5,5,5,10,10
Minneapolis Public School District,Annunciation,Hennepin,Public,337,511,0,5,5,10,15,20,20,20,20,30,30
Minneapolis Public School District,Ascension Catholic School,Hennepin,Public,298,511,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Blake School,Hennepin,Public,541,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Risen Christ,Hennepin,Public,322,511,0,0,0,5,5,5,5,5,5,5,5
Minneapolis Public School District,Lake Country School,Hennepin,Public,247,511,0,0,0,0,5,5,10,10,10,10,10
Minneapolis Public School District,Minnehaha Academy - Upper School,Hennepin,Public,360,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,St. Helena Catholic School,Hennepin,Public,120,511,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Trinity First Lutheran School,Hennepin,Public,93,511,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Carondelet Catholic School,Hennepin,Public,368,511,0,0,0,0,0,0,0,0,0,5,10
Minneapolis Public School District,St John Paul Ii Catholic Prep Sch,Hennepin,Public,143,511,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Our Lady Of Peace,Hennepin,Public,156,511,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Minnehaha Academy Mid&lower Schools,Hennepin,Public,467,511,5,5,5,5,5,10,15,15,15,15,15
Minneapolis Public School District,City Of Lakes Waldorf School,Hennepin,Public,219,511,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Hope Academy,Hennepin,Public,544,8191,0,5,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Cristo Rey Jesuit High School,Hennepin,Public,486,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Gaia Democratic School,Hennepin,Public,23,8185,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Iqra Islamic School,Hennepin,Public,15,15,0,0,0,0,0,0,0,0,0,0,0
South St. Paul Public School Dist,Holy Trinity,Dakota,Public,133,511,0,0,0,0,0,0,0,0,0,0,0
Anoka-hennepin Public School Dist.,Cross Of Christ Lutheran,Anoka,Private,86,511,0,0,0,0,0,0,0,0,0,0,0
Anoka-hennepin Public School Dist.,Epiphany Catholic School,Anoka,Private,278,511,0,0,0,0,0,0,0,0,0,0,0
Anoka-hennepin Public School Dist.,Legacy Christian Academy,Anoka,Private,559,8191,0,10,20,20,20,20,20,20,20,20,20
Anoka-hennepin Public School Dist.,St. Stephen,Anoka,Private,359,511,0,0,0,0,0,0,0,0,0,0,0
Anoka-hennepin Public School Dist.,Anoka Adventist Christian,Anoka,Private,9,376,0,0,0,0,0,0,0,0,0,0,0
Anoka-hennepin Public School Dist.,Northside Christian (blaine Campus),Anoka,Private,79,2559,0,0,0,0,0,0,0,0,0,0,0
Anoka-hennepin Public School Dist.,Montessori Renaissance Academy,Anoka,Private,66,255,0,0,0,0,0,0,0,0,0,0,0
Anoka-hennepin Public School Dist.,The Way Of The Shepherd,Anoka,Private,61,511,0,0,0,0,0,0,0,0,0,0,0
Columbia Heights Public School Dist,Immaculate Conception,Anoka,Private,165,511,0,0,0,0,0,0,0,0,0,5,5
Columbia Heights Public School Dist,Little Voyageur's Montessori,Anoka,Private,5,1,0,0,0,0,0,0,0,0,0,0,0
Fridley Public School District,Totino Grace High School,Anoka,Private,682,7680,0,0,0,0,5,10,10,10,15,25,25
Fridley Public School District,Woodcrest Baptist Academy,Anoka,Private,147,8191,0,0,0,0,0,0,0,0,0,0,0
Fridley Public School District,Al-amal School,Anoka,Private,340,8191,0,0,0,0,0,0,0,0,0,5,5
St. Francis Area Schools,St. Francis Christian,Anoka,Private,107,8191,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,Trinity Lutheran,Anoka,Private,61,511,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,Crown Christian School,Isanti,Private,80,255,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,Immaculate Heart Of Mary Academy,Anoka,Private,90,8191,0,0,0,0,0,0,0,0,0,0,0
Spring Lake Park Public Schools,Grace Lutheran,Anoka,Private,22,511,0,0,0,0,0,0,0,0,0,0,0
Spring Lake Park Public Schools,Avail Academy (blaine K-8 Campus),Anoka,Private,169,511,0,10,10,10,10,10,10,10,15,15,15
Spring Lake Park Public Schools,Avail Academy (fridley 9-12 Campus),Anoka,Private,52,7680,0,0,0,0,0,0,0,0,0,0,0
Detroit Lakes Public School Dist.,Holy Rosary,Becker,Private,119,511,0,0,0,0,0,0,0,0,0,0,0
