0075-01-010,St. Clair Public School District,St. Clair Elementary,Blue Earth,346
0075-01-020,St. Clair Public School District,St. Clair Secondary,Blue Earth,363
0077-01-010,Mankato Public School District,Kennedy Elementary,Blue Earth,390
0077-01-020,Mankato Public School District,Hoover Elementary,Nicollet,506
0077-01-030,Mankato Public School District,Jefferson Elementary,Blue Earth,228
0077-01-040,Mankato Public School District,Monroe Elementary,Nicollet,460
0077-01-050,Mankato Public School District,Roosevelt Elementary,Blue Earth,353
0077-01-060,Mankato Public School District,Bridges Community Elementary,Nicollet,221
0077-01-070,Mankato Public School District,Rosa Parks Elementary,Blue Earth,462
0077-01-080,Mankato Public School District,Washington Elementary,Blue Earth,422
0077-01-090,Mankato Public School District,Franklin Elementary,Blue Earth,411
0077-01-130,Mankato Public School District,Mankato West Senior High,Blue Earth,1243
0077-01-150,Mankato Public School District,Eagle Lake Elementary,Blue Earth,381
0077-01-160,Mankato Public School District,Mankato East Senior High,Blue Earth,1205
0077-01-170,Mankato Public School District,Special Education,Blue Earth,244
0077-01-190,Mankato Public School District,Dakota Meadows Middle School,Nicollet,933
0077-01-200,Mankato Public School District,Prairie Winds Middle School,Blue Earth,1090
0077-01-220,Mankato Public School District,Central High Area Learning Center,Blue Earth,84
0077-01-250,Mankato Public School District,Central Middle School ALC,Blue Earth,2
0077-01-260,Mankato Public School District,Central Freedom School,Blue Earth,6
0077-01-370,Mankato Public School District,Futures Program,Nicollet,41
0077-01-375,Mankato Public School District,Prairie Care Mankato,Blue Earth,11
0081-01-010,Comfrey Public School District,Comfrey Elementary,Brown,57
0081-01-020,Comfrey Public School District,Comfrey Secondary,Brown,79
0084-01-010,Sleepy Eye Public School District,Sleepy Eye Elementary,Brown,323
0084-01-020,Sleepy Eye Public School District,Sleepy Eye Sec.,Brown,253
0085-01-001,Springfield Public School District,Springfield Secondary,Brown,271
0085-01-002,Springfield Public School District,Springfield Elementary,Brown,298
0088-01-020,New Ulm Public School District,Jefferson Elementary,Brown,602
0088-01-030,New Ulm Public School District,Washington Elementary,Brown,188
0088-01-040,New Ulm Public School District,NEW ULM MIDDLE SCHOOL,Brown,663
0088-01-050,New Ulm Public School District,New Ulm High School,Brown,646
0091-01-001,Barnum Public School District,Barnum Elementary,Carlton,351
0091-01-002,Barnum Public School District,Barnum Secondary,Carlton,361
0093-01-001,Carlton Public School District,Carlton Secondary,Carlton,200
0093-01-002,Carlton Public School District,South Terrace Elementary,Carlton,195
0093-01-003,Carlton Public School District,Mash-Ka-Wisen,Carlton,3
0094-01-101,Cloquet Public School District,Churchill Elementary,Carlton,387
0094-01-103,Cloquet Public School District,CLOQUET AREA ALT. ED. PROGRAMS,Carlton,78
0094-01-105,Cloquet Public School District,Washington Elementary,Carlton,495
0094-01-106,Cloquet Public School District,Cloquet Early Childhood Education,Carlton,66
0094-01-107,Cloquet Public School District,Shared Time,Carlton,1
0094-01-108,Cloquet Public School District,CAAEP Extended Day Program,Carlton,2
0094-01-201,Cloquet Public School District,Cloquet Middle,Carlton,840
0094-01-202,Cloquet Public School District,Cloquet Senior,Carlton,765
0095-01-010,Cromwell-Wright Public Schools,Cromwell-Wright Elementary,Carlton,136
0095-01-020,Cromwell-Wright Public Schools,Cromwell-Wright Secondary,Carlton,165
0097-01-010,Moose Lake Public School District,Moose Lake Secondary,Carlton,270
0097-01-020,Moose Lake Public School District,Moose Lake Elementary,Carlton,307
0099-01-001,Esko Public School District,Lincoln Secondary,Carlton,602
0099-01-030,Esko Public School District,Winterquist Elementary,Carlton,666
0100-01-001,Wrenshall Public School District,Wrenshall Elementary,Carlton,186
0100-01-002,Wrenshall Public School District,Wrenshall Secondary,Carlton,178
0108-01-020,Central Public School District,Central Senior High,Carver,345
0108-01-030,Central Public School District,Central Middle,Carver,214
0108-01-040,Central Public School District,Central Elementary,Carver,380
0110-01-110,Waconia Public School District,Southview Elementary,Carver,657
0110-01-115,Waconia Public School District,Early Childhood Special Education,Carver,62
0110-01-120,Waconia Public School District,Bayview Elementary,Carver,537
0110-01-130,Waconia Public School District,Laketown Elementary,Carver,506
0110-01-220,Waconia Public School District,Waconia Middle School,Carver,933
0110-01-310,Waconia Public School District,Waconia High School,Carver,1310
0110-01-315,Waconia Public School District,Transitions 110,Carver,5
0110-01-601,Waconia Public School District,Waconia Learning Center,Carver,40
0111-01-837,Watertown-Mayer Public School District,Watertown-Mayer Community Learning Center,Carver,26
0111-01-839,Watertown-Mayer Public School District,Watertown-Mayer Elementary School,Carver,509
0111-01-841,Watertown-Mayer Public School District,Watertown-Mayer Middle,Carver,477
0111-01-842,Watertown-Mayer Public School District,Watertown Mayer High,Carver,472
0111-01-844,Watertown-Mayer Public School District,WM - Connections,Carver,1
0112-01-060,Eastern Carver County Public Schools,Chaska High School,Carver,1560
0112-01-061,Eastern Carver County Public Schools,Chaska Middle School East,Carver,564
0112-01-062,Eastern Carver County Public Schools,Chaska Middle School West,Carver,779
0112-01-063,Eastern Carver County Public Schools,Pioneer Ridge Middle School,Carver,491
0112-01-064,Eastern Carver County Public Schools,Chanhassen High School,Carver,1476
0112-01-065,Eastern Carver County Public Schools,INTEGRATED ARTS ACADEMY,Carver,65
0112-01-066,Eastern Carver County Public Schools,112 ALC Middle School,Carver,227
0112-01-067,Eastern Carver County Public Schools,112 ALC Independent Study,Carver,34
0112-01-069,Eastern Carver County Public Schools,Steps Toward Adult Responsibility,Carver,25
0112-01-501,Eastern Carver County Public Schools,La Academia,Carver,450
0112-01-504,Eastern Carver County Public Schools,Carver Elementary School,Carver,706
0112-01-506,Eastern Carver County Public Schools,Chanhassen Elementary,Carver,446
0112-01-507,Eastern Carver County Public Schools,East Union Elementary,Carver,112
0112-01-508,Eastern Carver County Public Schools,Early Childhood Special Education,Carver,131
0112-01-509,Eastern Carver County Public Schools,Kinder Academy,Carver,48
0112-01-510,Eastern Carver County Public Schools,Bluff Creek Elementary,Carver,537
0112-01-511,Eastern Carver County Public Schools,Clover Ridge Elementary,Carver,584
0112-01-512,Eastern Carver County Public Schools,Victoria Elementary,Carver,659
0112-01-513,Eastern Carver County Public Schools,Jonathan Elementary,Carver,587
0112-01-523,Eastern Carver County Public Schools,The Anicca Program,Carver,4
0113-01-010,Walker-Hackensack-Akeley School District,W.H.A. Elementary,Cass,412
0113-01-020,Walker-Hackensack-Akeley School District,Walker-Hackensack-Akeley Sec.,Cass,325
0113-01-025,Walker-Hackensack-Akeley School District,W. H. A. Alternative Program,Cass,3
0115-01-010,Cass Lake-Bena Public Schools,Cass Lake-Bena Elementary,Cass,429
0115-01-020,Cass Lake-Bena Public Schools,Cass Lake-Bena Middle School,Cass,335
0115-01-030,Cass Lake-Bena Public Schools,Cass Lake-Bena Secondary,Cass,265
0115-01-031,Cass Lake-Bena Public Schools,Cass Lake-Bena Area Lrng. Cntr.,Cass,78
0116-01-010,Pillager Public School District,Pillager Elementary,Cass,439
0116-01-020,Pillager Public School District,Pillager Senior High School,Cass,340
0116-01-040,Pillager Public School District,Pillager Middle School,Cass,355
0118-01-010,Northland Community Schools,Northland Elementary,Cass,194
0118-01-020,Northland Community Schools,Northland Secondary,Cass,131
0118-01-040,Northland Community Schools,Little Sand,Cass,15
0129-01-010,Montevideo Public School District,Ramsey Elementary,Chippewa,284
0129-01-020,Montevideo Public School District,Sanford Education Center,Chippewa,150
0129-01-030,Montevideo Public School District,Montevideo Middle,Chippewa,435
0129-01-040,Montevideo Public School District,Montevideo Senior High,Chippewa,502
0138-01-010,North Branch Public Schools,North Branch Early Childhood,Chisago,26
0138-01-020,North Branch Public Schools,North Branch Middle,Chisago,452
0138-01-030,North Branch Public Schools,North Branch Senior High,Chisago,671
0138-01-044,North Branch Public Schools,NORTH BRANCH AREA EDUCATION CENTER,Chisago,132
0138-01-045,North Branch Public Schools,Sunrise River Elementary,Chisago,730
0138-01-050,North Branch Public Schools,North Branch Lab School ALC,Chisago,30
0138-01-070,North Branch Public Schools,Distance Learning Program,Chisago,498
0139-01-010,Rush City Public School District,C.E. Jacobson Elementary,Chisago,479
0139-01-020,Rush City Public School District,Rush City Secondary,Chisago,399
0146-01-010,Barnesville Public School District,Barnesville Elementary,Clay,493
0146-01-040,Barnesville Public School District,Barnesville Secondary,Clay,405
0150-01-010,Hawley Public School District,Hawley Elementary,Clay,553
0150-01-011,Hawley Public School District,Spring Prairie Elementary,Clay,16
0150-01-020,Hawley Public School District,Hawley Secondary,Clay,431
0152-01-006,Moorhead Public School District,Probstfield Center For Education,Clay,224
0152-01-185,Moorhead Public School District,Dorothy Dodds Elementary School,Clay,716
0152-01-187,Moorhead Public School District,Robert Asp Elementary,Clay,638
0152-01-188,Moorhead Public School District,Ellen Hopkins Elementary,Clay,610
