MDE ID, County, Name, City, 9/18/21, 10/2/21
0347-01-301, Kandiyohi, Willmar Middle School, Willmar, 0-4, 5-9
0347-01-300, Kandiyohi, Willmar Senior High, Willmar, 5-9, 20-29
2171-01-030, Kittson, Kittson Central Secondary, Hallock, 0-4, 5-9
0361-01-007, Koochiching, Falls Elementary, International Falls, 10-19, 0-4
0361-01-001, Koochiching, Falls Secondary, International Falls, 5-9, 0-4
0362-01-020, Koochiching, Littlefork-Big Falls Elementary, Littlefork, 10-19, 5-9
0362-01-030, Koochiching, Littlefork-Big Falls Secondary, Littlefork, 0-4, 5-9
0363-01-080, Koochiching, Northome Elementary, Northome, 0-4, 5-9
0378-01-020, Lac qui Parle, Dawson-Boyd Secondary, Dawson, 0-4, 0-4
2853-01-040, Lac qui Parle, Lac qui Parle Valley Secondary, Madison, 0-4, 10-19
0381-01-040, Lake, Minnehaha Elementary, Two Harbors, 0-4, 5-9
0390-01-224, Lake of The Woods, Lake of The Woods Elementary, Baudette, 10-19, 0-4
0391-01-010, Le Sueur, Cleveland Elementary, Cleveland, 0-4, 5-9
2905-01-020, Le Sueur, Tri-City United High School, Montgomery, 0-4, 10-19
2167-01-020, Lyon, Lakeview Secondary, Cottonwood, 0-4, 5-9
0413-01-001, Lyon, Marshall High School, Marshall, 5-9, 5-9
0414-01-001, Lyon, Minneota Elementary, Minneota, 10-19, 10-19
0414-01-002, Lyon, Minneota Secondary, Minneota, 10-19, 0-4
2904-01-002, Lyon, Tracy Elementary, Tracy, 0-4, 5-9
2904-01-001, Lyon, Tracy Secondary, Tracy, 5-9, 5-9
2856-01-030, Marshall, Stephen Senior High, Stephen, 0-4, 5-9
2176-01-010, Marshall, Warren Elementary, Warren, 0-4, 5-9
2176-01-020, Marshall, Warren-Alvarado-Oslo Secondary, Warren, 5-9, 10-19
2752-01-050, Martin, Fairmont Elementary School, Fairmont, 5-9, 10-19
2752-01-060, Martin, Fairmont Jr-/Sr- High School, Fairmont, 5-9, 20-29
2536-01-020, Martin, Granada Huntley East Chain High School, Granada, 0-4, 5-9
2448-01-020, Martin, Martin County West Senior High, Sherburn, 0-4, 5-9
2448-01-015, Martin, Trimont Elementary, Trimont, 0-4, 10-19
0458-01-010, Martin, Truman Elementary, Truman, 0-4, 5-9
2859-01-060, McLeod, Glencoe-Silver Lake Senior High, Glencoe, 0-4, 5-9
0423-01-020, McLeod, Hutchinson Middle, Hutchinson, 10-19, 0-4
0423-01-010, McLeod, Hutchinson Park Elementary, Hutchinson, 5-9, 0-4
0423-01-030, McLeod, Hutchinson Senior High, Hutchinson, 5-9, 5-9
0423-01-060, McLeod, Hutchinson West Elementary, Hutchinson, 10-19, 5-9
2859-01-030, McLeod, Lakeside Elementary, Silver Lake, 0-4, 5-9
0466-01-003, Meeker, Dassel Elementary, Dassel, 0-4, 5-9
0463-01-020, Meeker, Eden Valley Secondary, Eden Valley, 5-9, 10-19
2396-01-300, Meeker, A-C-G-C- Secondary, Grove City, 5-9, 5-9
0465-01-010, Meeker, Lake Ripley Elementary, Litchfield, 0-4, 10-19
0465-01-030, Meeker, Litchfield Middle School, Litchfield, 0-4, 5-9
0477-01-010, Mille Lacs, Princeton Intermediate School, Princeton, 0-4, 5-9
0477-01-020, Mille Lacs, Princeton Middle School, Princeton, 10-19, 5-9
0477-01-001, Mille Lacs, Princeton Primary School, Princeton, 0-4, 5-9
0482-01-200, Morrison, Community Middle, Little Falls, 0-4, 10-19
0482-01-300, Morrison, Little Falls Senior High, Little Falls, 5-9, 10-19
0484-01-030, Morrison, Healy Secondary, Pierz, 0-4, 5-9
0485-01-010, Morrison, Royalton Elementary, Royalton, 0-4, 10-19
0485-01-020, Morrison, Royalton High School, Royalton, 0-4, 5-9
0485-01-050, Morrison, Royalton Middle School, Royalton, 5-9, 5-9
0486-01-010, Morrison, Swanville Elementary, Swanville, 0-4, 5-9
